nom_mpio,NOM_VEREDA,NOM_BARRIO,Count of SISBENIV_PT
ALBÁN,NAMAY ALTO,BARRIO_S4,513
ALBÁN,SIN VEREDA,LA ARBOLEDA,280
ANAPOIMA,SECTOR PATIO BONITO,BARRIO_S4,106
ANAPOIMA,SIN VEREDA,BARRIO COMPARTIR,205
ANAPOIMA,SIN VEREDA,BARRIO LA ESTRELLA,234
ANAPOIMA,SIN VEREDA,LAS ACACIAS,45
ANAPOIMA,SIN VEREDA,VILLAS DE ANAPOIMA,4
ANAPOIMA,VEREDA APICATA,BARRIO_S4,352
ANAPOIMA,VEREDA CALICHANA,BARRIO_S4,163
ANAPOIMA,VEREDA EL HIGUERON,BARRIO_S4,417
ANAPOIMA,VEREDA GOLCONDA,BARRIO_S4,260
ANAPOIMA,VEREDA LAS MERCEDES,BARRIO_S4,353
ANAPOIMA,VEREDA PROVIDENCIA GARCIA,BARRIO_S4,492
ANAPOIMA,VEREDA SAN ANTONIO ALTO,BARRIO_S4,269
ANAPOIMA,VEREDA SAN JOSE NORTE,BARRIO_S4,148
ANAPOIMA,VEREDA SANTA ANA,BARRIO_S4,262
ANAPOIMA,VEREDA SANTA BARBARA,BARRIO_S4,44
ANOLAIMA,CAPREA,BARRIO_S4,252
ANOLAIMA,ILO,BARRIO_S4,100
ANOLAIMA,MESITAS DE CABALLERO,BARRIO_S4,285
ANOLAIMA,MILAN,BARRIO_S4,23
ANOLAIMA,SAN AGUSTIN,BARRIO_S4,476
ANOLAIMA,SAN ISIDRO,BARRIO_S4,340
ANOLAIMA,SAN JERONIMO,BARRIO_S4,382
ANOLAIMA,SIN VEREDA,SAN LUIS,288
APULO,BEJUCAL,BARRIO_S4,14
APULO,BEJUCAL,LA AGRONOMICA,82
APULO,EL PALMAR,BARRIO_S4,4
APULO,EL PALMAR,LA AGRONOMICA,52
APULO,EL PARRAL,BARRIO_S4,4
APULO,GUACAMAYAS,BARRIO_S4,38
APULO,GUACAMAYAS,LA AGRONOMICA,141
APULO,LA HORQUETA,BARRIO_S4,9
APULO,LA MESETA,BARRIO_S4,49
APULO,LA MESETA,LA AGRONOMICA,335
APULO,LA PITA,BARRIO_S4,3
APULO,LA PITA,LA AGRONOMICA,13
APULO,LA VEGA,BARRIO_S4,14
APULO,LA VEGA,LA AGRONOMICA,59
APULO,NARANJAL,AVENIDA COLOMBIA,23
APULO,NARANJAL,FATIMA,12
APULO,NARANJALITO,LA AGRONOMICA,474
APULO,SIN VEREDA,GAITAN,192
APULO,SIN VEREDA,LAS QUINTAS,166
APULO,SOCOTA,BARRIO_S4,14
APULO,SOCOTA,LA AGRONOMICA,318
ARBELÁEZ,SAN LUIS,BARRIO_S4,555
ARBELÁEZ,SAN ROQUE,BARRIO_S4,665
ARBELÁEZ,SIN VEREDA,MARIANO,498
ARBELÁEZ,SIN VEREDA,RINCONADA,104
BELTRÁN,HONDURAS,SIN BARRIO,70
BITUIMA,CAMBULAR,SIN BARRIO,116
BITUIMA,CENTRO,SIN BARRIO,169
BITUIMA,GARITA,SIN BARRIO,116
BITUIMA,PAJITAS,SIN BARRIO,82
BITUIMA,RINCON SANTO,SIN BARRIO,141
BITUIMA,SAN CRISTOBAL,SIN BARRIO,110
BITUIMA,SIN VEREDA,SIN BARRIO,217
BOJACÁ,SIN VEREDA,CAMPO BELLO,131
BOJACÁ,SIN VEREDA,GAITÁN,1478
BOJACÁ,SIN VEREDA,LA CATLEYA,7
BOJACÁ,SIN VEREDA,SAN FERNANDO,301
BOJACÁ,SIN VEREDA,SENDEROS DEL ZIPA,1154
BOJACÁ,SIN VEREDA,VILLAS DE SAN LUIS,242
CABRERA,LA PLAYA,BARRIO_S4,170
CABRERA,NUÑEZ,BARRIO_S4,75
AGUA DE DIOS,LOS CHORROS,BARRIO_S4,9
AGUA DE DIOS,SIN VEREDA,ASIVIVIR,105
AGUA DE DIOS,SIN VEREDA,BOYACA,605
AGUA DE DIOS,SIN VEREDA,CONDOMINIO LOS LAGOS,41
AGUA DE DIOS,SIN VEREDA,EL MIRADOR,220
AGUA DE DIOS,SIN VEREDA,LOS FUNDADORES,116
AGUA DE DIOS,SIN VEREDA,MUÑOZ JORDAN,113
AGUA DE DIOS,SIN VEREDA,UNIDOS,43
AGUA DE DIOS,SIN VEREDA,URBANIZACION JUAN ELSAKERS,45
AGUA DE DIOS,SIN VEREDA,URBANIZACION LA ESPERANZA,62
ALBÁN,CHAVARRO,BARRIO_S4,281
ALBÁN,NAMAY BAJO,BARRIO_S4,346
ALBÁN,SIN VEREDA,EL PROGRESO,462
ALBÁN,SIN VEREDA,LA ESMERALDA,209
ANAPOIMA,INSPECCION SAN ANTONIO,BARRIO_S4,797
ANAPOIMA,SIN VEREDA,BARRIO ASOPOVIN,151
ANAPOIMA,SIN VEREDA,BARRIO SANTA TERESA,61
ANAPOIMA,SIN VEREDA,LAS DELICIAS,11
ANAPOIMA,SIN VEREDA,SECTOR EL TAMARINDO,123
ANAPOIMA,VEREDA CIRCACIA,BARRIO_S4,195
ANAPOIMA,VEREDA EL CABRAL,BARRIO_S4,150
ANAPOIMA,VEREDA EL CONSUELO,BARRIO_S4,347
ANAPOIMA,VEREDA LA GUASIMA,BARRIO_S4,138
ANAPOIMA,VEREDA SANTA LUCIA,BARRIO_S4,299
ANOLAIMA,CALANDAIMA,BARRIO_S4,227
ANOLAIMA,CHINIATA,BARRIO_S4,298
ANOLAIMA,CORAMA,BARRIO_S4,280
ANOLAIMA,LA ESMERALDA,BARRIO_S4,173
ANOLAIMA,LA MARIA,BARRIO_S4,388
ANOLAIMA,LIMONAL,BARRIO_S4,43
ANOLAIMA,MATIMA,BARRIO_S4,370
ANOLAIMA,PLATANAL,BARRIO_S4,122
ANOLAIMA,PRIMAVERA DE MATIMA,BARRIO_S4,17
ANOLAIMA,SIN VEREDA,COOMULVIA,168
ANOLAIMA,SIN VEREDA,EL PORVENIR,227
ANOLAIMA,SIN VEREDA,LAS MARGARITAS,299
ANOLAIMA,SIN VEREDA,SAN ANTONIO,156
ANOLAIMA,SIN VEREDA,SAN VICENTE,584
ANOLAIMA,SIN VEREDA,SANTA CECILIA,246
APULO,CACHIMBULO,BARRIO_S4,11
APULO,LA CUMBRE,LA AGRONOMICA,70
APULO,NARANJAL,CAMPOALEGRE,16
APULO,NARANJAL,EL CAMPIN,21
APULO,NARANJAL,EL CENTRO,31
APULO,NARANJAL,GAITAN,42
APULO,PANTANOS,BARRIO_S4,59
APULO,PANTANOS,LA AGRONOMICA,276
APULO,SAN ANTONIO,BARRIO_S4,29
APULO,SAN VICENTE,BARRIO_S4,13
APULO,SAN VICENTE,LA AGRONOMICA,39
APULO,SIN VEREDA,BARRIO_S4,14
APULO,SIN VEREDA,CHAPINERITO,188
APULO,SIN VEREDA,CHICAGO,181
APULO,SIN VEREDA,LA AGRONOMICA,354
APULO,SIN VEREDA,URBANIZACION HOREB,22
ARBELÁEZ,SAN MIGUEL,BARRIO_S4,736
ARBELÁEZ,SANTA BARBARA,BARRIO_S4,1158
ARBELÁEZ,SIN VEREDA,BELLAVISTA,884
ARBELÁEZ,SIN VEREDA,SAN RAFAEL,281
BELTRÁN,SIN VEREDA,BARRIO_S4,18
BELTRÁN,TABOR,SIN BARRIO,88
BITUIMA,CAJON,SIN BARRIO,112
BITUIMA,CARACOL,SIN BARRIO,117
BITUIMA,PALO BLANCO BAJO,SIN BARRIO,92
BITUIMA,PERIMETRO URBANO,SIN BARRIO,20
BITUIMA,PERIQUITO,SIN BARRIO,106
BITUIMA,SIN VEREDA,PERIMETRO  URBANO -,270
BITUIMA,VOLCAN,SIN BARRIO,153
BOJACÁ,CORTES,BARRIO_S4,239
BOJACÁ,SAN ANTONIO,BARRIO_S4,94
BOJACÁ,SIN VEREDA,BARRIO_S4,109
BOJACÁ,SIN VEREDA,RINCÓN DE LAS VEGAS,232
BOJACÁ,SIN VEREDA,SANTA HELENITA,1204
BOJACÁ,SIN VEREDA,SANTA RITA,618
CABRERA,ALTO ARIARI,BARRIO_S4,440
CABRERA,LA CASCADA,BARRIO_S4,389
CABRERA,PUEBLO VIEJO,BARRIO_S4,80
CABRERA,QUEBRADA NEGRA,BARRIO_S4,168
CABRERA,SAN ISIDRO,BARRIO_S4,224
CABRERA,SANTA MARTA,BARRIO_S4,122
CABRERA,SIN VEREDA,LAS PEÑITAS,42
CABRERA,SIN VEREDA,SIMÓN BOLIVAR,80
CABRERA,SIN VEREDA,VILLAZULAY,36
CACHIPAY,VEREDA PETALUMA ALTA,BARRIO_S4,276
CACHIPAY,VEREDA SAN ANTONIO ALTO,BARRIO_S4,296
CACHIPAY,VEREDA SAN MATEO,BARRIO_S4,193
CACHIPAY,VEREDA TOCAREMA BAJA,BARRIO_S4,117
AGUA DE DIOS,LA BALSITA,BARRIO_S4,132
AGUA DE DIOS,LA PUNA,BARRIO_S4,53
AGUA DE DIOS,LETICIA,BARRIO_S4,189
AGUA DE DIOS,SIN VEREDA,BARRIOS UNIDOS,292
AGUA DE DIOS,SIN VEREDA,CAPOTE,174
AGUA DE DIOS,SIN VEREDA,CARIBE ETAPA I,145
AGUA DE DIOS,SIN VEREDA,CARIBE ETAPA II ,258
AGUA DE DIOS,SIN VEREDA,EL CARMEN,192
AGUA DE DIOS,SIN VEREDA,PATIO BONITO,355
AGUA DE DIOS,SIN VEREDA,PEÑALIZA,268
AGUA DE DIOS,SIN VEREDA,SAN FRANCISCO,85
AGUA DE DIOS,SIN VEREDA,URBANIZACION SANTANDER,78
AGUA DE DIOS,SIN VEREDA,VILLAS DEL JORDAN,20
ALBÁN,MARIA ALTA,BARRIO_S4,273
ALBÁN,MARIA BAJA,BARRIO_S4,217
ALBÁN,SIN VEREDA,BARRIO_S4,879
ALBÁN,SIN VEREDA,LA GRUTA,333
ANAPOIMA,SIN VEREDA,ASOPOVIN,30
ANAPOIMA,SIN VEREDA,BARRIO LIBERIA,84
ANAPOIMA,SIN VEREDA,BARRIO NUEVA COLOMBIA,227
ANAPOIMA,SIN VEREDA,BARRIO SAN JOSE,675
ANAPOIMA,SIN VEREDA,BARRIO_S4,1138
ANAPOIMA,SIN VEREDA,MIRADOR DE LAS PALMAS,54
ANAPOIMA,SIN VEREDA,SECTOR SAN JUDAS,157
ANAPOIMA,VEREDA SAN JUDAS,BARRIO_S4,269
ANOLAIMA,LA ESPERANZA,BARRIO_S4,230
ANOLAIMA,LA LAGUNA,BARRIO_S4,374
ANOLAIMA,LOS BALSOS,BARRIO_S4,226
ANOLAIMA,PUENTE TIERRA,BARRIO_S4,81
ANOLAIMA,SAN CAYETANO,BARRIO_S4,201
ANOLAIMA,SANTA ANA,BARRIO_S4,42
ANOLAIMA,SIN VEREDA,BARRIO_S4,1837
ANOLAIMA,SIN VEREDA,CARACOLI,157
ANOLAIMA,SIN VEREDA,LA GLORIA,661
ANOLAIMA,SIN VEREDA,PORTAL DE LA VIRGEN,207
ANOLAIMA,SIN VEREDA,SANTANDER,121
ANOLAIMA,SIN VEREDA,VILLA CAROLINA,179
APULO,ALGODONES,BARRIO_S4,1
APULO,CHARCOLARGO,LA AGRONOMICA,213
APULO,CHONTADURO,LA AGRONOMICA,42
APULO,EL COPIAL,BARRIO_S4,34
APULO,EL PARRAL,LA AGRONOMICA,69
APULO,EL TRUENO,LA AGRONOMICA,15
APULO,GUACANA,BARRIO_S4,35
APULO,LA CEIBA,BARRIO_S4,11
APULO,LA NAVETA,BARRIO_S4,15
APULO,LAS QUINTAS,LA AGRONOMICA,117
APULO,NARANJAL,BARRIO_S4,12
APULO,NARANJAL,CHAPINERITO,14
APULO,NARANJAL,CHICAGO,24
APULO,NARANJAL,CHICO,16
APULO,NARANJAL,LAS QUINTAS,33
APULO,NARANJALITO,BARRIO_S4,76
APULO,PALENQUE,LA AGRONOMICA,122
APULO,PALOQUEMADO,BARRIO_S4,38
APULO,SALCEDO,BARRIO_S4,32
APULO,SAN ANTONIO,LA AGRONOMICA,69
APULO,SANTA ANA,BARRIO_S4,19
APULO,SIN VEREDA,CAMPO ALEGRE,176
APULO,SIN VEREDA,CHICO,138
APULO,SIN VEREDA,EL CAMPIN,393
ARBELÁEZ,EL SALITRE,BARRIO_S4,347
ARBELÁEZ,SAN JOSE,BARRIO_S4,613
ARBELÁEZ,SAN PATRICIO,BARRIO_S4,342
ARBELÁEZ,SANTA ROSA,BARRIO_S4,473
ARBELÁEZ,SIN VEREDA,BARRIO_S4,222
ARBELÁEZ,SIN VEREDA,COOTRABEA LAS ACACIAS,45
ARBELÁEZ,VEREDA_S4,BARRIO_S4,1
BELTRÁN,ALTO DE LAGUNAS,SIN BARRIO,12
BELTRÁN,LA CHACARA,SIN BARRIO,84
BITUIMA,APOSENTOS,SIN BARRIO,187
BITUIMA,PALO BLANCO ALTO,SIN BARRIO,73
BOJACÁ,BARROBLANCO,BARRIO_S4,131
BOJACÁ,CUBIA,BARRIO_S4,554
BOJACÁ,SANTA BARBARA,BARRIO_S4,257
BOJACÁ,SIN VEREDA,CENTRO,527
BOJACÁ,SIN VEREDA,GAVIOTAS,1038
CABRERA,BAJO ARIARI,BARRIO_S4,220
CABRERA,SANTA LUCIA,BARRIO_S4,511
CABRERA,SIN VEREDA,BARRIO_S4,92
CABRERA,SIN VEREDA,SAN FRANCISCO,36
CABRERA,VEREDA_S4,BARRIO_S4,235
CACHIPAY,TIERRA DE ENSUEÑOS,BARRIO_S4,149
CACHIPAY,VEREDA NARAJAL,BARRIO_S4,267
CACHIPAY,VEREDA SAN JOSE,BARRIO_S4,531
CACHIPAY,VEREDA VAIVEN,BARRIO_S4,99
CAJICÁ,BUENA SUERTE,BARRIO_S4,3
CAJICÁ,CP AGUANICA,BARRIO_S4,262
BITUIMA,MONTAÑA,SIN BARRIO,169
BITUIMA,PROGRESO,SIN BARRIO,176
BOJACÁ,BOBACE,BARRIO_S4,239
BOJACÁ,CHILCAL,BARRIO_S4,155
BOJACÁ,FUTE,BARRIO_S4,14
BOJACÁ,ROBLEHUECO,BARRIO_S4,74
BOJACÁ,SIN VEREDA,PALERMO,199
BOJACÁ,SIN VEREDA,SAN AGUSTÍN ,631
CABRERA,CANADÁ,BARRIO_S4,27
CABRERA,HOYERIAS,BARRIO_S4,101
CABRERA,LAS ÁGUILAS,BARRIO_S4,18
CABRERA,SIN VEREDA,CENTRO,412
CABRERA,SIN VEREDA,LA CULEBRERA,101
CACHIPAY,SIN VEREDA,BARRIO_S4,96
CACHIPAY,VEREDA CALANDAIMA,BARRIO_S4,246
CACHIPAY,VEREDA EL RETIRO,BARRIO_S4,140
CACHIPAY,VEREDA LA LAGUNA,BARRIO_S4,346
CACHIPAY,VEREDA LA RECEBERA,BARRIO_S4,222
CACHIPAY,VEREDA LA UCHUTA,BARRIO_S4,254
CACHIPAY,VEREDA PETALUMA BAJA,BARRIO_S4,279
CACHIPAY,VEREDA SAN ANTONIO BAJO,BARRIO_S4,235
CACHIPAY,VEREDA SAN PEDRO,BARRIO_S4,423
CACHIPAY,VEREDA TABLANCA ALTA,BARRIO_S4,145
CAJICÁ,CANELON,BARRIO_S4,2202
CAJICÁ,CP RINCON SANTO,BARRIO_S4,1181
CAJICÁ,EL BEBEDERO,BARRIO_S4,414
