ID,Distance,Elevation
1,0,3236.551787358677
2,24.18802190080937,3235.478061723891
3,48.37604380161874,3234.5723064959047
4,72.56406570242811,3233.730888986016
5,96.75208760323748,3232.362795897479
6,120.94010950404684,3230.8537263950357
7,145.12813140485622,3229.6592487328494
8,169.31615330566558,3229.6835268048126
9,193.50417520647497,3230.465328582679
10,217.6921971072843,3230.799415468227
11,241.8802190080937,3231.1492779260007
12,266.068240908903,3231.65289353183
13,290.25626280971244,3231.399550788274
14,314.4442847105218,3229.9329839851257
15,338.63230661133116,3227.42045375989
16,362.8203285121405,3226.78493130089
17,387.00835041294994,3226.669165668278
18,411.19637231375924,3226.8592286896774
19,435.3843942145686,3226.5524795460547
20,459.572416115378,3226.7918834342
21,483.7604380161874,3227.0457487305302
22,507.94845991699674,3227.182176991493
23,532.136481817806,3227.236058729808
24,556.3245037186156,3227.359660950114
25,580.5125256194249,3227.013814775865
26,604.7005475202342,3227.3482925885783
27,628.8885694210436,3227.6600936142845
28,653.076591321853,3228.321500663588
29,677.2646132226623,3227.666919713509
30,701.4526351234717,3227.6816414174464
31,725.640657024281,3227.7668444129004
32,749.8286789250905,3227.702945380983
33,774.0167008258999,3227.39977557111
34,798.2047227267092,3226.522218779738
35,822.3927446275185,3225.484325794486
36,846.5807665283279,3224.77807298297
37,870.7687884291372,3224.663541027693
38,894.9568103299466,3224.991455745338
39,919.144832230756,3224.2638736734716
40,943.3328541315655,3223.74547715292
41,967.5208760323748,3223.712809674235
42,991.7088979331842,3223.7898548058724
43,1015.8969198339935,3223.362757635446
44,1040.084941734803,3223.0021657686584
45,1064.272963635612,3222.903429751543
46,1088.4609855364215,3222.577301620896
47,1112.6490074372311,3222.4550331081255
48,1136.8370293380403,3222.6576362289916
49,1161.0250512388498,3222.0982034923327
50,1185.2130731396592,3221.966774312559
51,1209.4010950404684,3222.148613014594
52,1233.5891169412778,3222.331245407478
53,1257.7771388420872,3221.278241884091
54,1281.9651607428964,3221.2946925029382
55,1306.153182643706,3221.1965403050754
56,1330.3412045445154,3221.0390171012664
57,1354.5292264453246,3220.6406417768617
58,1378.717248346134,3220.661744930245
59,1402.9052702469435,3220.481079330164
60,1427.0932921477527,3220.2334561289567
61,1451.281314048562,3220.3479628522473
62,1475.4693359493715,3220.0315477276745
63,1499.657357850181,3219.728137052899
64,1523.8453797509903,3219.7061634059323
65,1548.0334016517997,3219.7033509713274
66,1572.221423552609,3219.825562932836
67,1596.4094454534184,3219.686472421584
68,1620.5974673542278,3219.684161641693
69,1644.785489255037,3220.079127121262
70,1668.9735111558464,3220.118668174854
71,1693.1615330566558,3220.256223212002
72,1717.349554957465,3219.9408666233226
73,1741.5375768582744,3218.9148271574995
74,1765.7255987590838,3218.4070845582833
75,1789.9136206598932,3218.1754584470305
76,1814.1016425607029,3218.2371735222446
77,1838.289664461512,3218.54914830669
78,1862.4776863623215,3219.2940729123075
79,1886.665708263131,3219.2672407134323
80,1910.8537301639403,3219.444311528224
81,1935.0417520647495,3219.264539366507
82,1959.229773965559,3218.9681821859294
83,1983.4177958663684,3218.451926176224
84,2007.6058177671775,3218.277137714397
85,2031.793839667987,3218.2060988019034
86,2055.9818615687964,3217.790699785026
87,2080.169883469606,3217.3822884935057
88,2104.357905370415,3217.7650547576063
89,2128.545927271224,3217.5013813400665
90,2152.7339491720336,3217.2528518426298
91,2176.921971072843,3217.235653403893
92,2201.109992973653,3216.578128540188
93,2225.2980148744623,3216.8625969878894
94,2249.4860367752713,3217.73665087212
95,2273.6740586760807,3217.332659518815
96,2297.86208057689,3216.803277624157
97,2322.0501024776995,3216.867049132851
98,2346.238124378509,3217.1716966751983
99,2370.4261462793183,3217.359621915072
100,2394.6141681801273,3217.1383861236773
101,2418.8021900809367,3216.720849729589
