ID,Distance,Elevation
1,0,3236.551787358677
2,31.073663171842693,3235.149877845272
3,62.147326343685386,3234.1447860567505
4,93.22098951552807,3232.6301972218566
5,124.29465268737077,3230.7021780373734
6,155.36831585921348,3229.386791059568
7,186.44197903105615,3230.281018783985
8,217.51564220289885,3230.7971273804187
9,248.58930537474154,3231.2987534163485
10,279.66296854658424,3231.7348606739965
11,310.73663171842696,3230.3195861869326
12,341.81029489026963,3227.2920614476448
13,372.8839580621123,3226.5739779348596
14,403.957621233955,3226.9177666628634
15,435.0312844057977,3226.5563878720964
16,466.10494757764036,3226.96989476032
17,497.1786107494831,3227.0933607341285
18,528.2522739213258,3227.225057330212
19,559.3259370931685,3227.2761967540146
20,590.3996002650111,3227.152689040303
21,621.4732634368539,3227.463408445741
22,652.5469266086966,3228.3395273857445
23,683.6205897805393,3227.6411484601895
24,714.6942529523819,3227.675389351574
25,745.7679161242246,3227.748170859545
26,776.8415792960674,3227.2931714350793
27,807.91524246791,3226.1426843733248
28,838.9889056397527,3224.851925483058
29,870.0625688115954,3224.652446751452
30,901.136231983438,3224.8993989357973
31,932.2098951552807,3223.8986680642015
32,963.2835583271235,3223.7063215025087
33,994.3572214989662,3223.7965412584967
34,1025.4308846708088,3223.175420841322
35,1056.5045478426516,3222.9383393688563
36,1087.5782110144942,3222.590779840876
37,1118.651874186337,3222.485470666901
38,1149.7255373581797,3222.365538144796
39,1180.7992005300223,3221.957321841189
40,1211.872863701865,3222.1883512556396
41,1242.9465268737079,3221.913683236562
42,1274.0201900455504,3221.2015611711395
43,1305.0938532173932,3221.2039436626465
44,1336.1675163892357,3220.9305858332477
45,1367.2411795610785,3220.673294921202
46,1398.3148427329213,3220.5163777740886
47,1429.3885059047639,3220.2442673500145
48,1460.4621690766066,3220.2596894337235
49,1491.5358322484492,3219.7597801731913
50,1522.609495420292,3219.7068780021573
51,1553.6831585921348,3219.7432771016533
52,1584.7568217639773,3219.797180901284
53,1615.83048493582,3219.6446297166794
54,1646.9041481076629,3220.098991217247
55,1677.9778112795054,3220.1536240086693
56,1709.0514744513482,3220.127831845125
57,1740.1251376231908,3218.9774265583437
58,1771.1988007950335,3218.358593133781
59,1802.272463966876,3218.17787294785
60,1833.3461271387189,3218.340267369078
61,1864.4197903105614,3219.3221058235263
62,1895.4934534824044,3219.3494158125
63,1926.567116654247,3219.311059255552
64,1957.6407798260898,3219.008514825181
65,1988.7144429979323,3218.4207505646036
66,2019.7881061697751,3218.203743986127
67,2050.8617693416177,3217.9240684305605
68,2081.9354325134605,3217.412133915471
69,2113.0090956853032,3217.8080313371806
70,2144.0827588571456,3217.2171109201527
71,2175.1564220289883,3217.2790623496653
72,2206.230085200831,3216.451645366019
73,2237.303748372674,3217.3465803561976
74,2268.3774115445167,3217.420382800579
75,2299.4510747163595,3216.778788308353
76,2330.524737888202,3216.989529506355
77,2361.5984010600446,3217.282456120077
78,2392.6720642318874,3217.1791463121476
79,2423.74572740373,3216.7091542709913
80,2454.8193905755725,3215.8614674290175
81,2485.8930537474157,3214.7077165921132
82,2516.966716919258,3215.10475725631
83,2548.040380091101,3215.0619207781538
84,2579.1140432629436,3214.5817024427565
85,2610.1877064347864,3214.4556292377165
86,2641.2613696066287,3214.6620834279624
87,2672.3350327784715,3214.5619989344837
88,2703.4086959503143,3214.441086445917
89,2734.482359122157,3213.7225658025354
90,2765.556022294,3213.615285642647
91,2796.6296854658426,3213.9429691583473
92,2827.703348637685,3213.7971250511187
93,2858.7770118095277,3213.878527578501
94,2889.8506749813705,3213.494273143293
95,2920.9243381532133,3213.0549325938937
96,2951.9980013250556,3212.536760427264
97,2983.0716644968984,3212.954881820695
98,3014.145327668741,3212.460088555842
99,3045.218990840584,3211.9562464827954
100,3076.2926540124267,3211.6930621969777
101,3107.3663171842695,3211.444528300965
102,3138.439980356112,3211.612922209225
103,3169.5136435279546,3211.8900460310897
104,3200.587306699798,3212.1459688526156
105,3231.66096987164,3210.7253915009123
106,3262.734633043483,3210.2777476887504
107,3293.8082962153258,3210.2880129225377
